City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
103,krasnoselkup,65.7,82.4667,287.17,88,70,2.85,RU,broken clouds
104,hobart,-42.8794,147.3294,279.07,75,40,0.89,AU,scattered clouds
105,somers point,39.3176,-74.5946,304.39,68,40,4.02,US,scattered clouds
106,orissaare,58.5592,23.0826,296.12,62,5,1.59,EE,clear sky
107,ostrovnoy,68.0531,39.5131,281.18,85,95,7.91,RU,overcast clouds
108,nouadhibou,20.931,-17.0347,298.14,73,0,7.72,MR,clear sky
109,lagoa,39.05,-27.9833,293.98,82,100,5.72,PT,overcast clouds
110,maceio,-9.6658,-35.7353,296.84,94,40,2.57,BR,scattered clouds
111,san quintin,30.4833,-115.95,293.47,82,100,2.86,MX,overcast clouds
112,honiara,-9.4333,159.95,298.2,89,94,2.15,SB,overcast clouds
113,port alfred,-33.5906,26.891,289.28,49,27,5.11,ZA,scattered clouds
114,te anau,-45.4167,167.7167,280.68,95,100,1.79,NZ,moderate rain
115,tumannyy,-45.4167,167.7167,280.68,95,100,1.79,NZ,moderate rain
116,isla mujeres,21.2311,-86.731,305.18,72,93,4.13,MX,overcast clouds
117,hofn,64.2539,-15.2082,284.34,88,97,6.78,IS,overcast clouds
118,coquimbo,-29.9533,-71.3436,289.0,63,0,6.17,CL,clear sky
119,taolanaro,-29.9533,-71.3436,289.0,63,0,6.17,CL,clear sky
120,taiyuan,37.8694,112.5603,298.07,65,0,2.0,CN,clear sky
121,marawi,7.9986,124.2928,295.18,88,62,1.98,PH,broken clouds
122,faya,18.3851,42.4509,292.21,71,93,1.86,SA,overcast clouds
123,opobo,18.3851,42.4509,292.21,71,93,1.86,SA,overcast clouds
124,avarua,-21.2078,-159.775,296.18,88,90,3.6,CK,overcast clouds
125,illoqqortoormiut,-21.2078,-159.775,296.18,88,90,3.6,CK,overcast clouds
126,sungaipenuh,-2.0833,101.3833,291.15,97,36,1.53,ID,scattered clouds
127,luohe,33.5717,114.0353,298.9,79,40,1.68,CN,scattered clouds
128,taman,45.2117,36.7161,300.33,66,34,8.99,RU,scattered clouds
129,esperance,-33.8667,121.9,285.06,83,4,7.82,AU,clear sky
130,provideniya,64.3833,-173.3,281.32,99,100,2.98,RU,moderate rain
131,upernavik,72.7868,-56.1549,278.15,82,47,5.17,GL,scattered clouds
132,jinka,5.65,36.65,287.27,85,100,1.33,ET,overcast clouds
133,walvis bay,-22.9575,14.5053,301.68,10,5,4.63,NA,clear sky
134,joshimath,30.5667,79.5667,297.48,93,100,0.39,IN,heavy intensity rain
135,rio gallegos,-51.6226,-69.2181,277.18,70,40,8.75,AR,scattered clouds
136,mtambile,-5.3833,39.7,297.38,70,0,9.03,TZ,clear sky
137,luderitz,-26.6481,15.1594,292.29,25,74,1.94,NA,broken clouds
138,rawannawi,-26.6481,15.1594,292.29,25,74,1.94,NA,broken clouds
139,saleaula,-26.6481,15.1594,292.29,25,74,1.94,NA,broken clouds
140,tuatapere,-46.1333,167.6833,281.94,90,100,2.1,NZ,light rain
141,dunedin,-45.8742,170.5036,283.04,67,100,6.26,NZ,overcast clouds
142,chumphon,10.3333,98.8333,295.31,95,100,1.61,TH,overcast clouds
143,lebu,-37.6167,-73.65,283.8,89,89,2.01,CL,overcast clouds
144,constitucion,-35.3333,-72.4167,285.06,88,50,4.58,CL,scattered clouds
145,pisco,-13.7,-76.2167,292.05,72,75,3.09,PE,broken clouds
146,kavaratti,10.5669,72.642,300.68,77,100,10.01,IN,overcast clouds
147,menongue,-14.6585,17.691,289.14,36,0,2.57,AO,clear sky
148,north platte,41.1239,-100.7654,302.77,57,1,2.57,US,clear sky
149,cabo san lucas,22.8909,-109.9124,308.25,51,1,3.09,MX,clear sky
150,portland,45.5234,-122.6762,300.16,60,1,0.45,US,clear sky
151,ancud,-41.8697,-73.8203,279.89,61,17,4.61,CL,few clouds
152,jaque,7.5175,-78.1703,297.51,93,100,2.39,PA,light rain
153,naftah,7.5175,-78.1703,297.51,93,100,2.39,PA,light rain
154,necochea,-38.5473,-58.7368,284.28,84,100,7.78,AR,overcast clouds
155,saint-philippe,-21.3585,55.7679,293.92,77,37,5.09,RE,scattered clouds
156,nizhniy odes,63.6445,54.856,284.12,69,89,2.53,RU,overcast clouds
157,qaanaaq,77.484,-69.3632,277.72,70,88,2.45,GL,overcast clouds
158,boguchany,58.3814,97.4531,292.54,66,54,1.72,RU,broken clouds
159,kavieng,-2.5744,150.7967,300.4,76,53,0.47,PG,broken clouds
160,puerto ayora,-0.7393,-90.3518,299.13,86,38,2.68,EC,scattered clouds
161,lensk,60.7253,114.9278,288.95,69,0,0.64,RU,clear sky
162,amparo,-22.7011,-46.7644,299.05,16,0,2.44,BR,clear sky
163,vancouver,49.2497,-123.1193,298.14,63,20,2.24,CA,few clouds
164,sideropolis,-28.5978,-49.4244,302.51,33,73,0.47,BR,broken clouds
165,saint george,37.1041,-113.5841,305.61,47,10,1.34,US,clear sky
